,Category
0,0
1,0
2,0
3,0
4,0
5,1
6,1
7,1
8,1
9,0
10,0
11,0
12,0
13,1
14,1
15,1
16,1
17,0
18,0
19,1
20,1
21,0
22,1
23,1
24,0
25,0
26,0
27,0
28,0
29,1
30,0
31,0
32,1
33,0
34,1
35,0
36,0
37,1
38,0
39,0
40,1
41,0
42,0
43,1
44,0
45,0
46,0
47,1
48,1
49,0
50,1
51,1
52,1
53,0
54,0
55,0
56,0
57,1
58,0
59,1
60,1
61,0
62,1
63,0
64,1
65,0
66,1
67,0
68,1
69,0
70,0
71,1
72,0
73,1
74,1
75,0
76,0
77,0
78,1
79,0
80,1
81,1
82,0
83,1
84,1
85,0
86,0
87,0
88,1
89,1
90,0
91,0
92,0
93,1
94,1
95,0
96,1
97,0
98,1
99,0
100,1
101,1
102,0
103,1
104,0
105,1
106,1
107,1
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,0
119,0
120,0
121,0
122,1
123,1
124,0
125,0
126,0
127,1
128,1
129,0
130,0
131,1
132,1
133,1
134,1
135,0
136,1
137,0
138,1
139,0
140,1
141,0
142,0
143,1
144,0
145,1
146,0
147,1
148,0
149,0
150,0
151,0
152,1
153,1
154,0
155,0
156,0
157,0
158,0
159,1
160,1
161,0
162,0
163,0
164,0
165,0
166,1
167,0
168,1
169,0
170,1
171,0
172,1
173,1
174,0
175,0
176,0
177,1
178,1
179,0
180,1
181,1
182,1
183,1
184,0
185,0
186,0
187,0
188,1
189,1
190,0
191,0
192,0
193,1
194,1
195,0
196,1
197,0
198,0
199,0
200,0
201,1
202,1
203,1
204,0
205,0
206,0
207,1
208,1
209,1
210,0
211,1
212,0
213,1
214,0
215,1
216,0
217,0
218,0
219,0
220,1
221,0
222,0
223,0
224,1
225,0
226,0
227,0
228,1
229,1
230,0
231,1
232,0
233,0
234,1
235,1
236,0
237,1
238,0
239,0
240,1
241,1
242,0
243,1
244,1
245,0
246,0
247,0
248,1
249,1
250,0
251,1
252,1
253,0
254,1
255,0
256,0
257,0
258,0
259,1
260,1
261,0
262,0
263,1
264,1
265,1
266,1
267,0
268,1
269,0
270,0
271,0
272,0
273,1
274,1
275,1
276,1
277,0
278,0
279,0
280,0
281,0
282,1
283,1
284,0
285,1
286,0
287,1
288,1
289,1
290,1
291,0
292,1
293,1
294,0
295,0
296,1
297,1
298,0
299,0
300,0
301,1
302,1
303,1
304,0
305,1
306,1
307,1
308,0
309,0
310,0
311,1
312,0
313,1
314,1
315,1
316,0
317,1
318,1
319,0
320,0
321,0
322,1
323,1
324,1
325,1
326,0
327,0
328,0
329,1
330,1
331,0
332,1
333,0
334,1
335,0
336,0
337,0
338,0
339,0
340,1
341,0
342,0
343,0
344,0
345,1
346,1
347,0
348,1
349,0
350,0
351,1
352,0
353,0
354,1
355,0
356,1
357,0
358,1
359,1
360,1
361,1
362,1
363,1
364,0
365,1
366,1
367,1
368,0
369,0
370,1
371,1
372,0
373,1
374,1
375,1
376,0
377,0
378,0
379,1
380,0
381,1
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,1
390,1
391,0
392,1
393,1
394,0
395,1
396,1
397,0
398,0
399,1
400,1
401,1
402,0
403,1
404,1
405,0
406,1
407,1
408,1
409,0
410,1
411,1
412,1
413,0
414,1
415,1
416,0
417,1
418,1
419,1
420,1
421,0
422,0
423,1
424,1
425,1
426,0
427,1
428,1
429,1
430,1
431,1
432,0
433,1
434,0
435,0
436,0
437,1
438,1
439,0
440,1
441,1
442,1
443,1
444,0
445,0
446,1
447,0
448,1
449,0
450,0
451,0
452,1
453,0
454,0
455,1
456,1
457,1
458,1
459,0
460,1
461,0
462,0
463,0
464,1
465,0
466,1
467,0
468,1
469,0
470,1
471,1
472,0
473,1
474,1
475,0
476,1
477,1
478,0
479,1
480,0
481,0
482,1
483,1
484,1
485,1
486,0
487,0
488,1
489,0
490,0
491,1
492,1
493,1
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,1
506,0
507,1
508,1
509,0
510,0
511,1
512,0
513,1
514,1
515,0
516,0
517,0
518,0
519,0
520,0
521,1
522,0
523,1
524,1
525,1
526,0
527,0
528,1
529,0
530,0
531,1
532,1
